"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-3-12","49.10","48.30","49.26","47.74","20.96M","2.66%"
"2026-3-11","47.83","45.80","48.06","45.51","43.43M","3.57%"
"2026-3-10","46.18","45.99","47.19","45.90","47.13M","-3.69%"
"2026-3-9","47.95","47.50","49.59","47.50","88.35M","4.63%"
"2026-3-6","45.83","45.60","46.20","45.00","31.08M","-0.11%"
"2026-3-5","45.88","45.65","46.30","44.60","51.22M","-0.50%"
"2026-3-4","46.11","45.00","46.31","43.66","70.86M","0.65%"
"2026-3-3","45.81","44.70","46.61","43.95","85.25M","2.41%"
"2026-3-2","44.73","43.09","44.88","42.46","80.14M","5.84%"
"2026-2-27","42.26","41.90","42.45","41.68","20.80M","1.03%"
"2026-2-26","41.83","42.18","42.77","41.74","17.14M","-0.83%"
"2026-2-25","42.18","42.53","42.80","42.05","22.88M","-0.80%"
"2026-2-24","42.52","41.73","42.69","41.73","25.50M","2.58%"
"2026-2-13","41.45","42.56","42.58","41.11","31.47M","-2.61%"
"2026-2-12","42.56","42.85","43.07","42.40","22.47M","-0.70%"
"2026-2-11","42.86","42.67","42.98","42.13","19.09M","0.89%"
"2026-2-10","42.48","42.21","42.60","42.02","21.33M","0.64%"
"2026-2-9","42.21","41.87","42.44","41.58","24.14M","1.30%"
"2026-2-6","41.67","41.43","42.19","41.05","25.18M","-0.45%"
"2026-2-5","41.86","41.90","42.35","41.18","36.10M","-1.32%"